====================================
  Cat Bot Application Emojis
  Total: 133 emojis
====================================

--- Rain ---
2rain                    <:2rain:1459987926115946654>
2rain_claimed            <:2rain_claimed:1459987927487611032>

--- Cat Types (Standard) ---
8bitcat                  <:8bitcat:1459988232732152019>
babycat                  <:babycat:1459988235106255023>
bravecat                 <:bravecat:1459988236616208659>
corruptcat               <:corruptcat:1459988238235205864>
divinecat                <:divinecat:1459988240206659697>
egirlcat                 <:egirlcat:1459988242790224038>
epiccat                  <:epiccat:1459988244644233464>
finecat                  <:finecat:1459988246636265597>
goodcat                  <:goodcat:1459988249043931388>
legendarycat             <:legendarycat:1459988250302218271>
mythiccat                <:mythiccat:1459988251376091331>
nicecat                  <:nicecat:1459988252785381386>
professorcat             <:professorcat:1459988254102257767>
rarecat                  <:rarecat:1459988256178569287>
realcat                  <:realcat:1459988257663094817>
reversecat               <:reversecat:1459988258812592260>
rickrollcat              <:rickrollcat:1459988261014474853>
superiorcat              <:superiorcat:1459988261991878677>
suscat                   <:suscat:1459988270300532941>
trashcat                 <:trashcat:1459988272557330452>
ultimatecat              <:ultimatecat:1459988274205692066>
wildcat                  <:wildcat:1459988275807654111>
mysterycat               <:mysterycat:1459987973838733685>

--- Cat Types (b_ prefix) ---
b_8bitcat                <:b_8bitcat:1459988139677323487>
b_babycat                <:b_babycat:1459988141187530875>
b_bravecat               <:b_bravecat:1459988142932103228>
b_corruptcat             <:b_corruptcat:1459988152243589254>
b_divinecat              <:b_divinecat:1459988154067976410>
b_egirlcat               <:b_egirlcat:1459988156827828526>
b_epiccat                <:b_epiccat:1459988158392439013>
b_finecat                <:b_finecat:1459988160082739272>
b_goodcat                <:b_goodcat:1459988168177877208>
b_legendarycat           <:b_legendarycat:1459988170870489178>
b_mythiccat              <:b_mythiccat:1459988172288163970>
b_nicecat                <:b_nicecat:1459988173747781739>
b_professorcat           <:b_professorcat:1459988175844802845>
b_rarecat                <:b_rarecat:1459988177715724361>
b_realcat                <:b_realcat:1459988179070357708>
b_reversecat             <:b_reversecat:1459988186871759000>
b_rickrollcat            <:b_rickrollcat:1459988188662861957>
b_superiorcat            <:b_superiorcat:1459988191196221638>
b_suscat                 <:b_suscat:1459988192509038602>
b_trashcat               <:b_trashcat:1459988194748793075>
b_ultimatecat            <:b_ultimatecat:1459988196355084358>
b_wildcat                <:b_wildcat:1459988198112362557>

--- Cat Types (o_ prefix) ---
o_8bitcat                <:o_8bitcat:1459988387774857347>
o_babycat                <:o_babycat:1459988389238538575>
o_bravecat               <:o_bravecat:1459988390584909867>
o_corruptcat             <:o_corruptcat:1459988392074019116>
o_divinecat              <:o_divinecat:1459988394091221146>
o_dogcat                 <:o_dogcat:1506331285939818546>
o_egirlcat               <:o_egirlcat:1459988396473712793>
o_epiccat                <:o_epiccat:1459988398671400992>
